지역,SIG_CD
강원특별자치도 동해시,51170
강원특별자치도 삼척시,51230
경기도 구리시,41310
경기도 부천시,41190
경기도 수원시 장안구,41111
경상남도 거창군,48880
경상남도 고성군,48820
경상남도 밀양시,48270
경상남도 사천시,48240
경상남도 산청군,48860
경상남도 의령군,48720
경상남도 진주시,48170
경상남도 창녕군,48740
경상남도 하동군,48850
경상남도 함안군,48730
경상남도 함양군,48870
경상남도 합천군,48890
경상북도 경산시,47290
경상북도 고령군,47830
경상북도 김천시,47150
경상북도 문경시,47280
경상북도 봉화군,47920
경상북도 상주시,47250
경상북도 성주군,47840
경상북도 안동시,47170
경상북도 영덕군,47770
경상북도 영양군,47760
경상북도 영주시,47210
경상북도 영천시,47230
경상북도 예천군,47900
경상북도 울릉군,47940
경상북도 울진군,47930
경상북도 의성군,47730
경상북도 청도군,47820
경상북도 청송군,47750
경상북도 칠곡군,47850
대구광역시 군위군,27720
대구광역시 달성군,27710
부산광역시 동래구,26260
울산광역시 울주군,31710
인천광역시 강화군,28710
전라남도 강진군,46810
전라남도 고흥군,46770
전라남도 곡성군,46720
전라남도 나주시,46170
전라남도 목포시,46110
전라남도 보성군,46780
전라남도 순천시,46150
전라남도 영광군,46870
전라남도 영암군,46830
전라남도 완도군,46890
전라남도 장성군,46880
전라남도 장흥군,46800
전라남도 함평군,46860
전라남도 해남군,46820
전라남도 화순군,46790
전라북도 고창군,45790
전라북도 군산시,45130
전라북도 김제시,45210
전라북도 남원시,45190
전라북도 무주군,45730
전라북도 순창군,45770
전라북도 완주군,45710
전라북도 익산시,45140
전라북도 임실군,45750
전라북도 장수군,45740
전라북도 정읍시,45180
전라북도 진안군,45720
충청남도 계룡시,44250
충청남도 공주시,44150
충청남도 금산군,44710
충청남도 논산시,44230
충청남도 당진시,44270
충청남도 부여군,44760
충청남도 서천군,44770
충청남도 예산군,44810
충청남도 청양군,44790
충청남도 홍성군,44800
충청북도 괴산군,43760
충청북도 보은군,43720
충청북도 영동군,43740
충청북도 옥천군,43730
충청북도 음성군,43770
충청북도 제천시,43150
충청북도 증평군,43745
충청북도 진천군,43750
충청북도 청주시 상당구,43111
충청북도 충주시,43130
