시군구,동반자유형,만족도,재방문의도,타인추천의도,성별,연령대
강원 삼척시,가족,매우 만족,높음,높음,여,15~19세
제주 서귀포시,가족,매우 만족,매우 높음,매우 높음,여,30대
강원 강릉시,가족,매우 만족,매우 높음,높음,남,30대
강원 강릉시,친구/연인,매우 만족,매우 높음,높음,남,50대
강원 춘천시,친구/연인,매우 만족,높음,보통,남,40대
제주 제주시,친구/연인,매우 만족,높음,높음,여,60대
경기 용인시,친구/연인,매우 만족,높음,높음,여,15~19세
경기 안산시,가족,매우 만족,높음,높음,남,40대
인천 강화군,가족,매우 만족,높음,높음,여,60대
충남 보령시,친구/연인,만족,높음,보통,여,30대
전북 전주시,가족,만족,높음,보통,여,20대
인천 강화군,친구/연인,만족,높음,높음,여,50대
경기 남양주시,친구/연인,만족,높음,높음,남,70세 이상
강원 강릉시,가족,매우 만족,매우 높음,높음,여,30대
경기 양평군,가족,매우 만족,높음,높음,여,50대
경기 포천시,친구/연인,만족,매우 높음,높음,남,60대
세종특별자치시,(직장)동료,만족,보통,보통,남,20대
경기 양평군,가족,매우 만족,매우 높음,높음,남,40대
경기 가평군,친구/연인,매우 만족,높음,높음,여,20대
경기 의정부시,가족,매우 만족,높음,보통,여,40대
인천 중구,친구/연인,매우 만족,높음,높음,남,20대
강원 강릉시,친구/연인,매우 만족,매우 높음,높음,남,30대
충남 부여군,가족,매우 만족,높음,높음,남,60대
경기 포천시,가족,매우 만족,매우 높음,높음,여,30대
경기 가평군,가족,만족,높음,높음,여,40대
경기 안산시,친구/연인,만족,높음,높음,남,20대
강원 철원군,친구/연인,만족,높음,높음,여,20대
경기 양평군,친구/연인,만족,높음,높음,여,50대
경기 용인시,가족,만족,높음,높음,남,40대
경기 양평군,친구/연인,만족,높음,높음,여,30대
충남 부여군,가족,만족,높음,높음,여,40대
경기 여주시,친구/연인,만족,높음,높음,여,20대
경기 가평군,친구/연인,만족,높음,높음,남,20대
강원 인제군,가족,만족,높음,높음,남,40대
경기 양평군,친구/연인,만족,높음,높음,여,50대
경기 용인시,가족,만족,높음,높음,여,30대
경기 화성시,가족,만족,높음,높음,남,30대
인천 옹진군,가족,만족,높음,높음,남,50대
경기 과천시,가족,만족,높음,높음,여,30대
충남 부여군,가족,만족,높음,높음,남,40대
경기 여주시,친구/연인,만족,높음,높음,여,40대
충남 부여군,친구/연인,만족,높음,높음,여,50대
경기 안산시,친구/연인,만족,높음,높음,여,60대
경기 광주시,친구/연인,만족,높음,높음,여,20대
부산 동구,가족,만족,높음,높음,여,40대
강원 양양군,가족,만족,높음,높음,여,50대
제주 제주시,가족,만족,높음,높음,여,15~19세
경기 동두천시,가족,만족,높음,높음,여,60대
강원 강릉시,가족,만족,높음,높음,여,40대
강원 춘천시,가족,만족,높음,높음,여,30대
강원 평창군,가족,만족,높음,보통,남,30대
강원 강릉시,친구/연인,만족,보통,보통,여,20대
충북 단양군,가족,만족,높음,높음,여,40대
인천 남동구,친구/연인,보통,높음,높음,여,60대
경기 가평군,친구/연인,만족,높음,높음,남,20대
강원 양구군,가족,만족,높음,높음,남,40대
경기 파주시,친구/연인,만족,높음,높음,여,20대
인천 옹진군,가족,만족,높음,높음,여,70세 이상
경기 포천시,친구/연인,만족,높음,높음,남,30대
강원 인제군,가족,만족,높음,높음,여,30대
강원 춘천시,가족,만족,높음,높음,남,50대
강원 강릉시,친구/연인,만족,높음,높음,남,20대
경기 용인시,가족,만족,높음,높음,여,20대
경기 양평군,친구/연인,만족,높음,높음,여,50대
