시군구,동반자유형,만족도,재방문의도,타인추천의도,성별,연령대,평점,법정동코드
강원특별자치도 삼척시,가족,5,4,4,여,15~19세,5.266666666666667,42230
제주특별자치도 서귀포시,가족,5,5,5,여,30대,6.166666666666667,50130
강원특별자치도 강릉시,가족,5,5,4,남,30대,5.666666666666667,42150
강원특별자치도 강릉시,비가족,5,5,4,남,50대,5.666666666666667,42150
강원특별자치도 춘천시,비가족,5,4,3,남,40대,4.766666666666667,42110
제주특별자치도 제주시,비가족,5,4,4,여,60대,5.266666666666667,50110
경기도 용인시,비가족,5,4,4,여,15~19세,5.266666666666667,41460
경기도 안산시,가족,5,4,4,남,40대,5.266666666666667,41270
인천광역시 강화군,가족,5,4,4,여,60대,5.266666666666667,28710
충청남도 보령시,비가족,4,4,3,여,30대,4.433333333333334,44180
전라북도 전주시,가족,4,4,3,여,20대,4.433333333333334,45110
인천광역시 강화군,비가족,4,4,4,여,50대,4.933333333333334,28710
경기도 남양주시,비가족,4,4,4,남,70세 이상,4.933333333333334,41360
강원특별자치도 강릉시,가족,5,5,4,여,30대,5.666666666666667,42150
경기도 양평군,가족,5,4,4,여,50대,5.266666666666667,41830
경기도 포천시,비가족,4,5,4,남,60대,5.333333333333333,41650
세종특별자치시,비가족,4,3,3,남,20대,4.033333333333333,36110
경기도 양평군,가족,5,5,4,남,40대,5.666666666666667,41830
경기도 가평군,비가족,5,4,4,여,20대,5.266666666666667,41820
경기도 의정부시,가족,5,4,3,여,40대,4.766666666666667,41150
인천광역시 중구,비가족,5,4,4,남,20대,5.266666666666667,28110
강원특별자치도 강릉시,비가족,5,5,4,남,30대,5.666666666666667,42150
충청남도 부여군,가족,5,4,4,남,60대,5.266666666666667,44760
경기도 포천시,가족,5,5,4,여,30대,5.666666666666667,41650
경기도 가평군,가족,4,4,4,여,40대,4.933333333333334,41820
경기도 안산시,비가족,4,4,4,남,20대,4.933333333333334,41270
강원특별자치도 철원군,비가족,4,4,4,여,20대,4.933333333333334,42780
경기도 양평군,비가족,4,4,4,여,50대,4.933333333333334,41830
경기도 용인시,가족,4,4,4,남,40대,4.933333333333334,41460
경기도 양평군,비가족,4,4,4,여,30대,4.933333333333334,41830
충청남도 부여군,가족,4,4,4,여,40대,4.933333333333334,44760
경기도 여주시,비가족,4,4,4,여,20대,4.933333333333334,41670
경기도 가평군,비가족,4,4,4,남,20대,4.933333333333334,41820
강원특별자치도 인제군,가족,4,4,4,남,40대,4.933333333333334,42810
경기도 양평군,비가족,4,4,4,여,50대,4.933333333333334,41830
경기도 용인시,가족,4,4,4,여,30대,4.933333333333334,41460
경기도 화성시,가족,4,4,4,남,30대,4.933333333333334,41590
인천광역시 옹진군,가족,4,4,4,남,50대,4.933333333333334,28720
경기도 과천시,가족,4,4,4,여,30대,4.933333333333334,41290
충청남도 부여군,가족,4,4,4,남,40대,4.933333333333334,44760
경기도 여주시,비가족,4,4,4,여,40대,4.933333333333334,41670
충청남도 부여군,비가족,4,4,4,여,50대,4.933333333333334,44760
경기도 안산시,비가족,4,4,4,여,60대,4.933333333333334,41270
경기도 광주시,비가족,4,4,4,여,20대,4.933333333333334,41610
부산광역시 동구,가족,4,4,4,여,40대,4.933333333333334,26170
강원특별자치도 양양군,가족,4,4,4,여,50대,4.933333333333334,42830
제주특별자치도 제주시,가족,4,4,4,여,15~19세,4.933333333333334,50110
경기도 동두천시,가족,4,4,4,여,60대,4.933333333333334,41250
강원특별자치도 강릉시,가족,4,4,4,여,40대,4.933333333333334,42150
강원특별자치도 춘천시,가족,4,4,4,여,30대,4.933333333333334,42110
강원특별자치도 평창군,가족,4,4,3,남,30대,4.433333333333334,42760
강원특별자치도 강릉시,비가족,4,3,3,여,20대,4.033333333333333,42150
충청북도 단양군,가족,4,4,4,여,40대,4.933333333333334,43800
인천광역시 남동구,비가족,3,4,4,여,60대,4.6000000000000005,28200
경기도 가평군,비가족,4,4,4,남,20대,4.933333333333334,41820
강원특별자치도 양구군,가족,4,4,4,남,40대,4.933333333333334,42800
경기도 파주시,비가족,4,4,4,여,20대,4.933333333333334,41480
인천광역시 옹진군,가족,4,4,4,여,70세 이상,4.933333333333334,28720
경기도 포천시,비가족,4,4,4,남,30대,4.933333333333334,41650
강원특별자치도 인제군,가족,4,4,4,여,30대,4.933333333333334,42810
강원특별자치도 춘천시,가족,4,4,4,남,50대,4.933333333333334,42110
강원특별자치도 강릉시,비가족,4,4,4,남,20대,4.933333333333334,42150
경기도 용인시,가족,4,4,4,여,20대,4.933333333333334,41460
경기도 양평군,비가족,4,4,4,여,50대,4.933333333333334,41830
경기도 고양시,비가족,4,4,4,남,30대,4.933333333333334,41280
강원특별자치도 강릉시,비가족,4,3,4,남,20대,4.533333333333333,42150
경기도 가평군,비가족,4,4,4,여,20대,4.933333333333334,41820
강원특별자치도 동해시,가족,4,4,4,여,40대,4.933333333333334,42170
충청남도 아산시,가족,4,4,4,여,60대,4.933333333333334,44200
경기도 과천시,가족,4,4,4,여,30대,4.933333333333334,41290
경기도 용인시,가족,4,4,4,남,40대,4.933333333333334,41460
경기도 가평군,비가족,5,4,4,남,20대,5.266666666666667,41820
경상북도 울진군,가족,5,4,4,여,30대,5.266666666666667,47930
강원특별자치도 철원군,가족,4,4,4,남,30대,4.933333333333334,42780
세종특별자치시,비가족,5,4,4,남,40대,5.266666666666667,36110
강원특별자치도 동해시,비가족,4,4,5,남,50대,5.433333333333334,42170
